Unnamed: 0,Accuracy,Precision,Recall,F1 Score,Model
Random Forest,0.944875459371172,0.2608695652173913,0.0483870967741935,0.0816326530612244,Random_Forest
SVM,0.9493670886075948,0.0,0.0,0.0,SVM
Logistic Regression,0.9493670886075948,0.5,0.0040322580645161,0.008,Logistic_Regression
KNN,0.9465087790935076,0.15,0.0120967741935483,0.0223880597014925,KNN
MLPClassifier,0.9495712535728869,1.0,0.0040322580645161,0.0080321285140562,MLPClassifier
