,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9448754593711719,0.2608695652173913,0.04838709677419355,0.08163265306122448
SVM,0.9493670886075949,0.0,0.0,0.0
Logistic Regression,0.9493670886075949,0.5,0.004032258064516129,0.008
KNN,0.9465087790935075,0.15,0.012096774193548387,0.022388059701492536
MLPClassifier,0.9495712535728869,1.0,0.004032258064516129,0.008032128514056224
